Action,BaseSKU,BaseProductName,BaseUnitsOfMeasure,AdditionalUnitsOfMeasureSKU,AdditionalUnitsOfMeasureProductName,AdditionalUnitsOfMeasureName,NumberOfBaseUnitsInAdditionalUnit,IAmSellingThisProduct
,9226,Air clay Foodie assort-Sweets,Unit,9226-Case Pack 24,Air clay Foodie assort-Sweets-Casepack 24,Case Pack 24,24,TRUE
,9233,Air Clay Assorted Colors 5oz-Red,Unit,9233-Case Pack 24,Air Clay Assorted Colors 5oz-Red-Casepack 24,Case Pack 24,24,TRUE
,9234,Air Clay Assorted Colors 5oz-Black,Unit,9234-Case Pack 24,Air Clay Assorted Colors 5oz-Black-Casepack 24,Case Pack 24,24,TRUE
,9235,Air Clay Assorted Colors 5oz-White,Unit,9235-Case Pack 24,Air Clay Assorted Colors 5oz-White-Casepack 24,Case Pack 24,24,TRUE
,9236,Air Clay Assorted Colors 5oz-Blue,Unit,9236-Case Pack 24,Air Clay Assorted Colors 5oz-Blue-Casepack 24,Case Pack 24,24,TRUE
,9237,Air Clay Assorted Colors 5oz-Yellow,Unit,9237-Case Pack 24,Air Clay Assorted Colors 5oz-Blue-Casepack 24,Case Pack 24,1,TRUE
,9238,Air Clay Assorted Colors 5oz-Green,Unit,9238-Case Pack 24,Air Clay Assorted Colors 5oz-Yellow-Casepack 24,Case Pack 24,24,TRUE
,9239,Modeling clay 5oz box -Red,Unit,9239-Case Pack 24,Air Clay Assorted Colors 5oz-Red-Casepack 24,Case Pack 24,24,TRUE
,9254,PD Crackle Surprise,Unit,9254-Case Pack 6,PD Crackle Surprise-Casepack 6,Case Pack 6,6,TRUE
,9259,PD Crackle Surprise,Unit,9259-Case Pack 6,PD Crackle Surprise-Casepack 6,Case Pack 6,6,TRUE
,9341,AIR DRY CLAY White  5PK container,Case Pack 4,9341-Case Pack 4,AIR DRY CLAY White  5PK container -Casepack 4,Unit,1,TRUE
,9345,PD AIR CLAY DINO ASST_15% larger,Unit,9345-Case Pack 24,PD AIR CLAY DINO ASST_15% larger-Casepack 24,Case Pack 24,24,TRUE
,9346,PD AIR CLAY CAR ASST_15% larger,Unit,9346-Case Pack 24,PD AIR CLAY CAR ASST_15% larger-Casepack 24,Case Pack 24,24,TRUE
,CIU-HCASTINGK-60924,DIY Hand Casting Kit,Unit,CIU-HCASTINGK-60924-Case Pack 6,DIY Hand Casting Kit-Casepack 6,Case Pack 6,6,TRUE
,CK-ADCLAY-78722,Air Dry Clay Modeling Crafts Kit For Children,Unit,CK-ADCLAY-78722-Case Pack 12,Air Dry Clay Modeling Crafts Kit For Children-Casepack 12,Case Pack 12,12,TRUE
,KDTOOL-42ABC-76699,42-Piece Tools Party Pack w/Letters and Numbers,Unit,KDTOOL-42ABC-76699-Case Pack 24,42-Piece Tools Party Pack w/Letters and Numbers-Casepack 24,Case Pack 24,24,TRUE
,PD-DVP80PACK-09117,Play-Doh Air Clay - Deluxe Value 80 Pack,Unit,PD-DVP80PACK-09117-Case Pack 4,Play-Doh Air Clay - Deluxe Value 80 Pack-Casepack 4,Case Pack 4,4,TRUE
,123,,,,,,12,
,3122,,,,,,12,
555,3122,555,555,555,555,555,12,555
444,2555,444,444,444,444,444,444,444
444,4445,444,444,444,444,444,444,444
333,143,333,333,333,333,333,333,333
333,142,333,333,333,333,33,333,333
333,3422,333,333,333,333,333,333,333
333,3422,333,333,333,333,333,333,333
333,2564,333,333,333,333,333,333,333
333,3544,333,333,333,333,333,333,333
